experiment_id,recorded_at,model,horizon,split,n,MAE,RMSE,MAPE,sMAPE,train_period,validation_period,test_period,n_features,hyperparameters,notes
exp_ladder_hist_gbr_rolling,2026-08-26T01:43:01+00:00,hist_gbr,1d,valid,11680,25.82,49.371,0.9674,0.9796,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=23.4s
exp_ladder_hist_gbr_full,2026-08-26T01:43:30+00:00,hist_gbr,1d,valid,11680,26.568,50.394,0.9924,1.0052,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=28.3s
exp_ladder_hist_gbr_raw,2026-08-26T01:44:41+00:00,hist_gbr,1d,valid,11680,16.452,21.941,0.665,0.6666,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,26,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=raw; fit=19.1s
exp_ladder_hist_gbr_lags,2026-08-26T01:45:00+00:00,hist_gbr,1d,valid,11680,15.304,20.438,0.6202,0.6209,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,54,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=lags; fit=19.2s
exp_ladder_hist_gbr_rolling,2026-08-26T01:45:21+00:00,hist_gbr,1d,valid,11680,15.185,20.172,0.6156,0.6163,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,82,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=rolling; fit=20.4s
exp_ladder_hist_gbr_full,2026-08-26T01:45:49+00:00,hist_gbr,1d,valid,11680,14.73,19.702,0.5956,0.5961,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,106,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=full; fit=28.2s
exp_ladder_hist_gbr_raw,2026-08-26T01:46:22+00:00,hist_gbr,1d,valid,11680,16.452,21.941,0.665,0.6666,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,26,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=raw; fit=17.4s
exp_ladder_hist_gbr_raw,2026-08-26T01:46:37+00:00,hist_gbr,3d,valid,11616,26.076,33.618,1.0499,1.0555,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,26,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=raw; fit=14.5s
exp_ladder_hist_gbr_raw,2026-08-26T01:46:52+00:00,hist_gbr,7d,valid,11488,39.104,49.486,1.5639,1.5792,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,26,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=raw; fit=14.8s
exp_ladder_hist_gbr_lags,2026-08-26T01:47:15+00:00,hist_gbr,1d,valid,11680,15.304,20.438,0.6202,0.6209,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,54,"{""early_stopping"": false, ""l2_regularization"": 1.0, ""learning_rate"": 0.05, ""max_depth"": null, ""max_iter"": 600, ""max_leaf_nodes"": 31, ""min_samples_leaf"": 40, ""random_state"": 42}",feature_set=lags; fit=22.9s
