experiment_id,recorded_at,model,horizon,split,n,MAE,RMSE,MAPE,sMAPE,train_period,validation_period,test_period,n_features,hyperparameters,notes
exp_ladder_xgboost_lags,2026-08-26T01:55:41+00:00,xgboost,7d,valid,11488,38.695,49.176,1.5482,1.5626,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,54,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=lags; fit=3.1s
exp_ladder_xgboost_rolling,2026-08-26T01:55:46+00:00,xgboost,1d,valid,11680,15.131,19.527,0.61,0.6106,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,82,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=rolling; fit=4.5s
exp_ladder_xgboost_rolling,2026-08-26T01:55:51+00:00,xgboost,3d,valid,11616,24.043,31.313,0.968,0.9714,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,82,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=rolling; fit=4.9s
exp_ladder_xgboost_rolling,2026-08-26T01:55:56+00:00,xgboost,7d,valid,11488,36.098,46.089,1.4478,1.4585,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,82,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=rolling; fit=5.2s
exp_ladder_xgboost_full,2026-08-26T01:56:03+00:00,xgboost,1d,valid,11680,14.944,19.545,0.6015,0.6024,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,106,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=full; fit=6.9s
exp_ladder_xgboost_full,2026-08-26T01:56:11+00:00,xgboost,3d,valid,11616,22.873,29.892,0.9218,0.9238,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,106,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=full; fit=7.1s
exp_ladder_xgboost_full,2026-08-26T01:56:18+00:00,xgboost,7d,valid,11488,31.74,41.075,1.2779,1.2827,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,106,"{""colsample_bytree"": 0.8, ""gamma"": 0.0, ""learning_rate"": 0.05, ""max_depth"": 6, ""min_child_weight"": 5, ""n_estimators"": 800, ""n_jobs"": -1, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""tree_method"": ""hist""}",feature_set=full; fit=7.8s
exp_ladder_lightgbm_raw,2026-08-26T01:56:20+00:00,lightgbm,1d,valid,11680,16.644,21.903,0.672,0.6737,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,26,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=raw; fit=1.2s
exp_ladder_lightgbm_raw,2026-08-26T01:56:21+00:00,lightgbm,3d,valid,11616,26.971,34.702,1.0832,1.0893,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,26,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=raw; fit=1.3s
exp_ladder_lightgbm_raw,2026-08-26T01:56:23+00:00,lightgbm,7d,valid,11488,41.964,52.913,1.6777,1.6957,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,26,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=raw; fit=1.5s
exp_ladder_lightgbm_lags,2026-08-26T01:56:25+00:00,lightgbm,1d,valid,11680,15.423,20.426,0.6242,0.6249,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,54,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=lags; fit=2.0s
exp_ladder_lightgbm_lags,2026-08-26T01:56:27+00:00,lightgbm,3d,valid,11616,23.785,31.035,0.9578,0.961,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,54,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=lags; fit=1.9s
exp_ladder_lightgbm_lags,2026-08-26T01:56:29+00:00,lightgbm,7d,valid,11488,35.758,45.656,1.4342,1.4451,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,54,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=lags; fit=2.0s
exp_ladder_lightgbm_rolling,2026-08-26T01:56:32+00:00,lightgbm,1d,valid,11680,15.135,20.07,0.6137,0.614,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,82,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=rolling; fit=2.4s
exp_ladder_lightgbm_rolling,2026-08-26T01:56:34+00:00,lightgbm,3d,valid,11616,23.395,30.443,0.9437,0.9465,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,82,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=rolling; fit=2.1s
exp_ladder_lightgbm_rolling,2026-08-26T01:56:37+00:00,lightgbm,7d,valid,11488,34.666,44.192,1.3931,1.4024,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,82,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=rolling; fit=2.6s
exp_ladder_lightgbm_full,2026-08-26T01:56:41+00:00,lightgbm,1d,valid,11680,14.879,19.955,0.6019,0.6023,2021-01-01..2023-12-30,2024-01-01..2024-12-30,,106,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=full; fit=3.9s
exp_ladder_lightgbm_full,2026-08-26T01:56:46+00:00,lightgbm,3d,valid,11616,21.997,28.774,0.8877,0.889,2021-01-01..2023-12-28,2024-01-01..2024-12-28,,106,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=full; fit=4.3s
exp_ladder_lightgbm_full,2026-08-26T01:56:49+00:00,lightgbm,7d,valid,11488,31.253,40.494,1.2557,1.2607,2021-01-01..2023-12-24,2024-01-01..2024-12-24,,106,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": -1, ""min_child_samples"": 30, ""n_estimators"": 800, ""n_jobs"": -1, ""num_leaves"": 31, ""random_state"": 42, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.9, ""subsample_freq"": 1, ""verbose"": -1}",feature_set=full; fit=3.2s
